,,,Date,,,Age group,,,Incidence,,Confidence Interval,,,,,,,,,,,,,,,,
Priyanka,Austria,Austria,1979,1981,M,0,15,154,6.5,,5.5,7.6,38%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1982,1984,M,0,15,200,9,,7.8,10.4,33%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1986,1988,M,0,15,146,7.3,,6.2,8.6,39%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1991,M,0,15,172,8.3,,7.1,9.6,35%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1992,1993,M,0,15,145,10.2,,8.6,11.9,38%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1979,1981,F,0,15,143,6.3,,5.3,7.4,40%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1982,1984,F,0,15,160,7.6,,6.4,8.8,38%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1986,1988,F,0,15,151,7.9,,6.7,9.3,39%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1991,F,0,15,155,7.9,,6.7,9.2,37%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1992,1993,F,0,15,125,9.3,,7.8,11.1,42%,,,Schoeber (1995),,,,,,,,,,,
Priyanka,Austria,Austria,1979,1981,M+F,0,15,297,6.4,,5.7,7.2,26%,,,Schoeber (1995),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Austria,Austria,1982,1984,M+F,0,15,360,8.3,,7.5,9.2,23%,,,Schoeber (1995),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Austria,Austria,1986,1988,M+F,0,15,297,7.6,,6.8,8.5,25%,,,Schoeber (1995),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Austria,Austria,1989,1991,M+F,0,15,327,8.1,,7.2,9,25%,,,Schoeber (1995),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Austria,Austria,1992,1993,M+F,0,15,270,9.8,,8.6,11,28%,,,Schoeber (1995),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Austria,Austria,1989,1993,M,0,4,,5.9,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1993,M,5,9,,10.4,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1993,M,10,14,,12.1,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1993,F,0,4,,5,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1993,F,5,9,,8.8,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1993,F,10,14,,11.7,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1993,M+F,0,14,,9,,,,#DIV/0!,,0.4,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,M,0,4,,6.7,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,M,5,9,,10.9,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,M,10,14,,13.3,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,F,0,4,,5.3,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,F,5,9,,10,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,F,10,14,,12.7,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1994,1998,M+F,0,14,,9.8,,,,#DIV/0!,,0.4,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,M,0,4,,12.9,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,M,5,9,,13.4,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,M,10,14,,15.3,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,F,0,4,,9.3,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,F,5,9,,15.2,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,F,10,14,,13.4,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1999,2003,M+F,0,14,,13.2,,,,#DIV/0!,,0.4,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,M,0,4,,14.3,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,M,5,9,,18,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,M,10,14,,22.4,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,F,0,4,,12.6,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,F,5,9,,16.9,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,F,10,14,,19.7,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2004,2008,M+F,0,14,,17.3,,,,#DIV/0!,,0.5,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,M,0,4,,14.3,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,M,5,9,,22.2,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,M,10,14,,26.8,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,F,0,4,,12.1,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,F,5,9,,19.5,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,F,10,14,,23,,,,#DIV/0!,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,2009,2013,M+F,0,14,,19.7,,,,#DIV/0!,,0.6,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,2013,,0,14,4594,,1.044,1.04,1.048,1%,,,Patterson (2019),,,,,,,,,,,
Priyanka,Austria,Austria,1989,1989,M+F,0,14,93,6.94,,,,#DIV/0!,,0.72,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1990,1990,M+F,0,14,110,8.22,,,,#DIV/0!,,0.78,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1991,1991,M+F,0,14,125,9.22,,,,#DIV/0!,,0.83,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1992,1992,M+F,0,14,129,9.38,,,,#DIV/0!,,0.83,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1993,1993,M+F,0,14,155,11.11,,,,#DIV/0!,,0.89,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1994,1994,M+F,0,14,141,10,,,,#DIV/0!,,0.84,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1995,1995,M+F,0,14,141,9.92,,,,#DIV/0!,,0.84,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1996,1996,M+F,0,14,141,9.92,,,,#DIV/0!,,0.84,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1997,1997,M+F,0,14,138,9.76,,,,#DIV/0!,,0.83,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1998,1998,M+F,0,14,132,9.44,,,,#DIV/0!,,0.82,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,1999,1999,M+F,0,14,167,12.01,,,,#DIV/0!,,0.93,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2000,2000,M+F,0,14,176,12.75,,,,#DIV/0!,,0.97,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2001,2001,M+F,0,14,165,12.1,,,,#DIV/0!,,0.95,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2002,2002,M+F,0,14,177,12.94,,,,#DIV/0!,,0.99,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2003,2003,M+F,0,14,223,16.5,,,,#DIV/0!,,1.12,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2004,2004,M+F,0,14,210,15.46,,,,#DIV/0!,,1.09,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2005,2005,M+F,0,14,236,17.64,,,,#DIV/0!,,1.16,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2006,2006,M+F,0,14,232,17.44,,,,#DIV/0!,,1.16,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2007,2007,M+F,0,14,249,19.02,,,,#DIV/0!,,1.22,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2008,2008,M+F,0,14,224,17.17,,,,#DIV/0!,,1.17,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2009,2009,M+F,0,14,228,17.84,,,,#DIV/0!,,1.2,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2010,2010,M+F,0,14,221,17.51,,,,#DIV/0!,,1.19,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2011,2011,M+F,0,14,258,20.58,,,,#DIV/0!,,1.3,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2012,2012,M+F,0,14,270,21.9,,,,#DIV/0!,,1.34,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Austria,Austria,2013,2013,M+F,0,14,253,20.59,,,,#DIV/0!,,1.3,Patterson (2019) Excel data,,Current values in T1D Index,,,,,,,,,
Priyanka,Bangladesh,Bangladesh,2011,2011,M+F,0,15,,1.04,,0.72,1.46,103%,,,Zabeen (2021),,,,,,,,,,,
Priyanka,Bangladesh,Bangladesh,2011,2011,M+F,15,19,,1.27,,1.19,2.81,136%,,,Zabeen (2021),,,,,,,,,,,
Priyanka,Bangladesh,Bangladesh,2011,2011,M+F,0,20,,1.27,,0.96,1.64,71%,,,Zabeen (2021),,Current values in T1D index,,,,,,,,,
Priyanka,Bangladesh,Bangladesh,2018,2018,M+F,0,15,,1.42,,1.06,1.86,75%,,,Zabeen (2021),,,,,,,,,,,
Priyanka,Bangladesh,Bangladesh,2018,2018,M+F,15,19,,1.21,,0.29,1.22,321%,,,Zabeen (2021),,,,,,,,,,,
Priyanka,Bangladesh,Bangladesh,2018,2018,M+F,0,20,,1.21,,0.93,1.55,67%,,,Zabeen (2021),,Current values in T1D index,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1980,1980,M+F,0,18,,3.42,,2.59,4.25,64%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1981,1981,M+F,0,18,,2.64,,1.91,3.37,76%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1982,1982,M+F,0,18,,2.65,,1.91,3.39,77%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1983,1983,M+F,0,18,,2.66,,1.92,3.4,77%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1984,1984,M+F,0,18,,5.1,,4.08,6.12,50%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1985,1985,M+F,0,18,,2.85,,2.09,3.61,73%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1986,1986,M+F,0,18,,3.27,,2.45,4.09,67%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1987,1987,M+F,0,18,,4.33,,3.38,5.28,56%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1988,1988,M+F,0,18,,4.98,,3.97,5.99,51%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1989,1989,M+F,0,18,,4.31,,3.37,5.25,56%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1990,1990,M+F,0,18,,7.31,,6.07,8.55,41%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1991,1991,M+F,0,18,,7.31,,6.06,8.56,41%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1992,1992,M+F,0,18,,5.93,,4.79,7.07,48%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1993,1993,M+F,0,18,,6.44,,5.24,7.64,46%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1994,1994,M+F,0,18,,9.18,,7.75,10.61,37%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1995,1995,M+F,0,18,,8.4,,7.02,9.78,39%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1996,1996,M+F,0,18,,9.46,,7.98,10.94,37%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1997,1997,M+F,0,18,,8.71,,7.28,10.14,39%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1998,1998,M+F,0,18,,11.7,,10.02,13.38,34%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,1999,1999,M+F,0,18,,7.97,,6.56,9.38,43%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,2000,2000,M+F,0,18,,8.4,,6.95,9.85,42%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,2001,2001,M+F,0,18,,11.2,,9.57,12.83,34%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Gomel,Belarus,2002,2002,M+F,0,18,,10.1,,8.46,11.74,39%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1980,1980,M+F,0,18,,4.45,,3.48,5.42,56%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1981,1981,M+F,0,18,,1.95,,1.3,2.6,100%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1982,1982,M+F,0,18,,1.29,,0.76,1.82,139%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1983,1983,M+F,0,18,,1.11,,0.61,1.61,164%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1984,1984,M+F,0,18,,2.46,,1.72,3.2,86%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1985,1985,M+F,0,18,,1.56,,0.97,2.15,122%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1986,1986,M+F,0,18,,2.91,,2.1,3.72,77%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1987,1987,M+F,0,18,,2.01,,1.34,2.68,100%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1988,1988,M+F,0,18,,1.11,,0.61,1.61,164%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1989,1989,M+F,0,18,,2.22,,1.52,2.92,92%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1990,1990,M+F,0,18,,4.63,,3.62,5.64,56%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1991,1991,M+F,0,18,,2.2,,1.5,2.9,93%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1992,1992,M+F,0,18,,2.64,,1.88,3.4,81%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1993,1993,M+F,0,18,,3.54,,2.65,4.43,67%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1994,1994,M+F,0,18,,2.24,,1.53,2.95,93%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1995,1995,M+F,0,18,,2.04,,1.36,2.72,100%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1996,1996,M+F,0,18,,2.31,,1.58,3.04,92%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1997,1997,M+F,0,18,,2.59,,1.81,3.37,86%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1998,1998,M+F,0,18,,3.39,,2.48,4.3,73%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,1999,1999,M+F,0,18,,1.49,,0.88,2.1,139%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,2000,2000,M+F,0,18,,6.6,,5.3,7.9,49%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,2001,2001,M+F,0,18,,6.9,,5.56,8.24,48%,,,Zalutskaya (2004),,,,,,,,,,,
Priyanka,Belarus- Minsk,Belarus,2002,2002,M+F,0,18,,7.26,,5.86,8.66,48%,,,Zalutskaya (2004),,,,,,,,,,,
