include,study,year_published,world_bank_name,data_source,notes,min_diagnosis_age,max_diagnosis_age,min_attained_age,max_attained_age,year_diagnosis_start,year_diagnosis_end,year_censor,cases,person_years,deaths,mortality_rate_per1000py,smr,age_at_diagnosis_data,age_at_death_data,condition_duration_data,cohorts
,The Verona diabetes study: a population-based survey on known diabetes mellitus prevalence and 5-year all-cause mortality.,1995,Italy,,"Verona. IDDM. Table 2 shows actual age, age at diagnosis and disease duration mortality stats, but for all diabetes (not just T1D). T1D mortality rate and person-years not provided.",0,34,,,1986,1991,1991,170,,,,3.53,,,,
,"Calendar time trends of the insulin-dependent diabetes mellitus mortality in Allegheny county, Pennsylvania.",1996,United States,Allegheny County In- sulin-dependent Diabetes Mellitus Registry,Pennsylvania. No patient-year numbers. Survival rates provided by age at diagnosis and follow up period.,,,,,,,,,,,,,TRUE,,,
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,0,14,,,1970,1974,1994,,28346,68,2.400,3.5,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,0,14,,,1975,1979,1999,,29696,64,2.160,3.4,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,0,14,,,1980,1984,2004,,32373,57,1.760,3,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,0,14,,,1985,1989,2007,,19219,19,0.990,1.9,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,15,29,,,1970,1974,1994,,21924,49,2.230,1.4,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,15,29,,,1975,1979,1999,,22961,68,2.960,1.8,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,15,29,,,1980,1984,2004,,21546,71,3.300,2.2,TRUE,FALSE,FALSE,TRUE
1,Time trends in mortality in patients with type 1 diabetes: nationwide population based cohort study.,2011,Finland,,Two age of onset cohorts (0-14 and 15-29). Table 2 contains 20 year follow-up statistics.,15,29,,,1985,1989,2007,,13966,57,4.080,2.9,TRUE,FALSE,FALSE,TRUE
,All-cause mortality in a nationwide cohort of childhood-onset diabetes in Norway 1973-2013.,2015,Norway,,Already done,,,,,,,,,,,,,,,,
1,Excess Risk of Dying FromInfectious Causes in Those WithType 1 and Type 2 Diabetes,2015,Australia,Australian Diabetes register,"Wrong paper name in mendeley. SMR calculated using published SMR and deaths for infection-related(A-B) mortality and figures in Table 2 for pneumonia, septicemia and osteomyelitis. Age-group analysis only shown for T2D.",0,44,,,2000,2010,2010,85144,752298,87,,6.233325746,FALSE,FALSE,FALSE,FALSE
,"Incidence and Mortality Rates and Clinical Characteristics of Type 1 Diabetes among Children and Young Adults in Cochabamba, Bolivia.",2017,Bolivia,,Already done,,,,,,,,,,,,,,,,
,Diabetes in Kyrgyzstan: Changes between 2002 and 2009,2013,Kyrgyzstan,,"No mortality data for T1D. Notes diabetes mortality has doubled from 1990 to 2009 (increasing from 6.2/100 000 in 1990 to 12.2 in 2009), but doesn't split T1D and T2D.",,,,,,,,,,,,,,,,
,"Rapidly rising incidence of Type 1 diabetes in children and adolescents aged 0–19 years in Zhejiang, China, 2007 to 2013",2016,China,,Only discusses incidence.,,,,,,,,,,,,,,,,
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,United Kingdom,,"London. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,242,3123,42,13.4500,2.63,FALSE,FALSE,FALSE,FALSE
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,Switzerland,,"Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,207,2056,51,24.8000,5.67,FALSE,FALSE,FALSE,FALSE
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,Poland,,"Warsaw. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,211,2231,88,39.4500,5.635,FALSE,FALSE,FALSE,FALSE
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,Germany,,"Berlin. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,183,1762,74,42.0000,6.685,FALSE,FALSE,FALSE,FALSE
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,Croatia,,"Zagreb. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,105,1093,27,24.7000,3.41,FALSE,FALSE,FALSE,FALSE
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,"China, Hong Kong SAR",,"Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,103,744,18,24.2000,4.905,FALSE,FALSE,FALSE,FALSE
,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,Japan,,"Tokyo. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,60,,14,,,FALSE,FALSE,FALSE,FALSE
1,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,Cuba,,"Havana. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,88,1184,28,23.6500,7.375,FALSE,FALSE,FALSE,FALSE
,Mortality and causes of death in the WHO Multinational Study of Vascular Disease in Diabetes.,2001,United States,,"Oklahoma. Sample of diabetic patients from 1975-1977. Cross sectional data for 3 age bands between 35-55. No year of diagnosis. Study methodology from: ""Prevalence of small vessel and large vessel disease in diabetic patients from 14 centres: The World Health Organisation Multinational Study of Vascular Disease in Diabetics."" Diabetologia 28 (1985): 615-640.",0,54,,,1975,1977,1988,51,,23,,,FALSE,FALSE,FALSE,FALSE
,"All-cause mortality rates in patients with type 1 diabetes mellitus compared with a non-diabetic population from the UK general practice research database, 1992–1999",2006,United Kingdom,,"208,178 person-years number in abstract is for all subjects (T1D patients and comparison group). It's also 208,284 in results section. Table 2 shows person-years and deaths but it is the combined(!) numbers for T1D and comparison groups. Only mortality rate is useful.",,,,,1992,1999,1999,7713,,,8.0000,3.333333333,FALSE,TRUE,FALSE,FALSE
1,"Excess mortality and cardiovascular disease in young adults with type 1 diabetes in relation to age at onset: a nationwide, register-based cohort study.",2018,Sweden,Swedish National Diabetes Register,Person-years estimated by cases*median follow-up,0,30,,,1998,2012,2014,27195,271950,959,3.5264,3.175812607,TRUE,FALSE,FALSE,FALSE
,"The association between dietary sodium intake, ESRD, and all-cause mortality in patients with type 1 diabetes",2011,Finland,FinnDiane Study,Studied relationship between dietary sodium intake and T1D mortality.,,,,,,,,,,,,,,,,
,Glycemic control and excess mortality in type 1 diabetes.,2014,Sweden,Swedish National Diabetes Register;  Swedish Register for Cause-Specific Mortality,"No mortality rate or person-years for each diagnosis age group. Only shows number of deaths for T1D patients and reference group. I think this is the same data used in ""Excess mortality and cardiovascular disease in young adults with type 1 diabetes in relation to age at onset: a nationwide, register-based cohort study."" Shows mortality by Glycated Hemoglobin level.",,,,,1998,2011,2011,33915,,,,,FALSE,FALSE,FALSE,FALSE
1,"Mortality in patients with childhood-onset type 1 diabetes in Finland, Estonia, and Lithuania: follow-up of nationwide cohorts.",2000,Finland,,Cox survival analysis on cohorts and age at diagnosis,0,14,,,1980,1994,1995,5156,39487,32,0.810,1.62,FALSE,FALSE,FALSE,FALSE
1,"Mortality in patients with childhood-onset type 1 diabetes in Finland, Estonia, and Lithuania: follow-up of nationwide cohorts.",2000,Estonia,,Cox survival analysis on cohorts and age at diagnosis,0,14,,,1980,1994,1995,518,3164,12,3.793,4.35,FALSE,FALSE,FALSE,FALSE
1,"Mortality in patients with childhood-onset type 1 diabetes in Finland, Estonia, and Lithuania: follow-up of nationwide cohorts.",2000,Lithuania,,Cox survival analysis on cohorts and age at diagnosis,0,14,,,1983,1994,1995,698,4081,25,6.126,7.55,FALSE,FALSE,FALSE,FALSE
,Excess Mortality in Patients With Type 1 Diabetes Without Albuminuria-Separating the Contribution of Early and Late Risks.,2018,Finland,,Already done,,,,,,,,,,,,,,,,
,"Commentary for issue of Diabetes. Introduces ""Cause-specific mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes"" study (alread added).",2010,United States,Allegheny County childhood-onset type 1 diabetes registry,"Pennsylvania. Same data as ""All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.""",,,,,,,,,,,,,,,,
1,Mortality in type 1 diabetes diagnosed in childhood in Northern Ireland during 1989-2012: A population-based cohort study,2018,United Kingdom,Northern Ireland Childhood Diabetes Register,Northern Ireland. Calendar period is not year of diagnosis - only a summary of events during those years.,0,14,0,14,1989,2012,2012,,14086,10,0.700,4.43,FALSE,TRUE,TRUE,FALSE
1,Mortality in type 1 diabetes diagnosed in childhood in Northern Ireland during 1989-2012: A population-based cohort study,2018,United Kingdom,Northern Ireland Childhood Diabetes Register,Northern Ireland. Calendar period is not year of diagnosis - only a summary of events during those years.,0,14,15,19,1989,2012,2012,,9325,10,1.100,2.04,FALSE,TRUE,TRUE,FALSE
1,Mortality in type 1 diabetes diagnosed in childhood in Northern Ireland during 1989-2012: A population-based cohort study,2018,United Kingdom,Northern Ireland Childhood Diabetes Register,Northern Ireland. Calendar period is not year of diagnosis - only a summary of events during those years.,0,14,20,24,1989,2012,2012,,6907,9,1.300,1.9,FALSE,TRUE,TRUE,FALSE
1,Mortality in type 1 diabetes diagnosed in childhood in Northern Ireland during 1989-2012: A population-based cohort study,2018,United Kingdom,Northern Ireland Childhood Diabetes Register,Northern Ireland. Calendar period is not year of diagnosis - only a summary of events during those years.,0,14,25,29,1989,2012,2012,,4585,17,3.700,5.4,FALSE,TRUE,TRUE,FALSE
1,Mortality in type 1 diabetes diagnosed in childhood in Northern Ireland during 1989-2012: A population-based cohort study,2018,United Kingdom,Northern Ireland Childhood Diabetes Register,Northern Ireland. Calendar period is not year of diagnosis - only a summary of events during those years.,0,14,30,34,1989,2012,2012,,2755,6,2.200,2.85,FALSE,TRUE,TRUE,FALSE
1,Mortality in type 1 diabetes diagnosed in childhood in Northern Ireland during 1989-2012: A population-based cohort study,2018,United Kingdom,Northern Ireland Childhood Diabetes Register,Northern Ireland. Calendar period is not year of diagnosis - only a summary of events during those years.,0,14,35,99,1989,2012,2012,,2106,7,3.300,2.52,FALSE,TRUE,TRUE,FALSE
,Increased mortality in a Danish cohort of young people with Type 1 diabetes mellitus followed for 24 years.,2017,Denmark,,Already done,,,,,,,,,,,,,,,,
,Mortality Trends Among People With Type 1 and Type 2 Diabetes in Australia: 1997–2010,2014,Australia,,Shows change in SMRs from 1997-2010 and by age group for two cohorts.,,,,,1989,2012,2012,,,,,,FALSE,FALSE,FALSE,TRUE
,"Mortality and acute complications in children and young adults diagnosed with Type 1 diabetes in Yorkshire, UK: a cohort study.",2018,United Kingdom,,Already done,,,,,,,,,,,,,,,,
,"Mortality of childhood-onset IDDM patients. A cohort study in Havana City Province, Cuba",1997,Cuba,,Already done,,,,,,,,,,,,,,,,
,All-cause mortality in a population-based type 1 diabetes cohort in the U.S. Virgin Islands.,2014,United States Virgin Islands,,Already done,,,,,,,,,,,,,,,,
1,"Puberty, IDDM, and death in Japan. Diabetes Epidemiology Research International Study Group.",1998,Japan,,All data in Table 2. SMRs at the bottom,0,12,,,1965,1969,1990,172,3245,25,7.660,16.65,TRUE,FALSE,FALSE,TRUE
1,"Puberty, IDDM, and death in Japan. Diabetes Epidemiology Research International Study Group.",1998,Japan,,All data in Table 2. SMRs at the bottom,0,12,,,1970,1979,1990,83,1424,25,17.630,26.83,TRUE,FALSE,FALSE,TRUE
