world_bank_name,united_nations_name,country_wk,drop_country,iso3c,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,FALSE,BIH,UMIC,Western Europe,Europe,EUR,EUR,Europe,70
Botswana,Botswana,Botswana,FALSE,BWA,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,72
Brazil,Brazil,Brazil,FALSE,BRA,UMIC,South America,Americas,AMER,SACA,South America & Central America,76
Brunei Darussalam,Brunei Darussalam,Brunei,FALSE,BRN,HIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,96
Bulgaria,Bulgaria,Bulgaria,FALSE,BGR,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,100
Burkina Faso,Burkina Faso,Burkina Faso,FALSE,BFA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,854
Burundi,Burundi,Burundi,FALSE,BDI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,108
Cambodia,Cambodia,Cambodia,FALSE,KHM,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,116
Cameroon,Cameroon,Cameroon,FALSE,CMR,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,120
Canada,Canada,Canada,FALSE,CAN,HIC,North America,Americas,AMER,NAC,North America & Carribbean,124
Cape Verde,Cabo Verde,Cabo Verde,FALSE,CPV,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,132
Central African Republic,Central African Republic,Central African Republic,FALSE,CAF,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,140
Chad,Chad,Chad,FALSE,TCD,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,148
Channel Islands,Channel Islands,Channel Islands,TRUE,CHI,HIC,Western Europe,Europe,EUR,N/A,Europe,830
Chile,Chile,Chile,FALSE,CHL,HIC,South America,Americas,AMER,SACA,South America & Central America,152
China,China,China,FALSE,CHN,UMIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,156
"China, Hong Kong SAR","China, Hong Kong SAR",Hong Kong China,FALSE,HKG,HIC,East Asia,Asia-Pacific,APAC,N/A,N/A,344
"China, Macao SAR","China, Macao SAR","China, Macao SAR",FALSE,MAC,HIC,East Asia,Asia-Pacific,APAC,N/A,N/A,446
"China, Taiwan Province of China","China, Taiwan Province of China","China, Taiwan Province of China",FALSE,TWN,HIC,East Asia,Asia-Pacific,APAC,N/A,N/A,158
Colombia,Colombia,Colombia,FALSE,COL,UMIC,South America,Americas,AMER,SACA,South America & Central America,170
Comoros,Comoros,Comoros,FALSE,COM,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,174
Costa Rica,Costa Rica,Costa Rica,FALSE,CRI,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,188
Cote d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,FALSE,CIV,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,384
Croatia,Croatia,Croatia,FALSE,HRV,HIC,Western Europe,Europe,EUR,EUR,Europe,191
Cuba,Cuba,Cuba,FALSE,CUB,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,192
Curaçao,Curaçao,Curaçao,TRUE,CUW,HIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,531
Cyprus,Cyprus,Cyprus,FALSE,CYP,HIC,Middle East,Middle East and Africa,MEA,EUR,Europe,196
Czech Republic,Czechia,Czechia,FALSE,CZE,HIC,Eastern Europe,Europe,EUR,EUR,Europe,203
Democratic People's Republic of Korea,Dem. People's Republic of Korea,Dem. People's Republic of Korea,FALSE,PRK,LIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,408
Democratic Republic of the Congo,Democratic Republic of the Congo,"Congo, Democratic Republic of the",FALSE,COD,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,180
Denmark,Denmark,Denmark,FALSE,DNK,HIC,Nordic Countries,Europe,EUR,EUR,Europe,208
Djibouti,Djibouti,Djibouti,FALSE,DJI,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,262
Dominican Republic,Dominican Republic,Dominican Republic,FALSE,DOM,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,214
Ecuador,Ecuador,Ecuador,FALSE,ECU,UMIC,South America,Americas,AMER,SACA,South America & Central America,218
Egypt,Egypt,Egypt,FALSE,EGY,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,818
El Salvador,El Salvador,El Salvador,FALSE,SLV,LMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,222
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,FALSE,GNQ,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,226
Eritrea,Eritrea,Eritrea,FALSE,ERI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,232
Estonia,Estonia,Estonia,FALSE,EST,HIC,Western Europe,Europe,EUR,EUR,Europe,233
Ethiopia,Ethiopia,Ethiopia,FALSE,ETH,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,231
Federated States of Micronesia,Micronesia (Fed. States of),Micronesia (Fed. States of),FALSE,FSM,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,583
Fiji,Fiji,Fiji,FALSE,FJI,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,242
Finland,Finland,Finland,FALSE,FIN,HIC,Nordic Countries,Europe,EUR,EUR,Europe,246
France,France,France,FALSE,FRA,HIC,Western Europe,Europe,EUR,EUR,Europe,250
French Guiana,French Guiana,French Guiana,TRUE,GUF,UMIC,South America,Americas,AMER,N/A,N/A,254
French Polynesia,French Polynesia,French Polynesia,TRUE,PYF,HIC,South-East Asia,Asia-Pacific,APAC,N/A,N/A,258
Gabon,Gabon,Gabon,FALSE,GAB,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,266
Gambia,Gambia,Gambia,FALSE,GMB,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,270
Georgia,Georgia,Georgia,FALSE,GEO,LMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,268
Germany,Germany,Germany,FALSE,DEU,HIC,Western Europe,Europe,EUR,EUR,Europe,276
Ghana,Ghana,Ghana,FALSE,GHA,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,288
Greece,Greece,Greece,FALSE,GRC,HIC,Western Europe,Europe,EUR,EUR,Europe,300
Grenada,Grenada,Grenada,FALSE,GRD,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,308
Guadeloupe,Guadeloupe,Guadeloupe,TRUE,GLP,UMIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,312
Guam,Guam,Guam,TRUE,GUM,HIC,South-East Asia,Asia-Pacific,APAC,N/A,N/A,316
Guatemala,Guatemala,Guatemala,FALSE,GTM,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,320
Guinea,Guinea,Guinea,FALSE,GIN,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,324
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,FALSE,GNB,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,624
Guyana,Guyana,Guyana,FALSE,GUY,UMIC,South America,Americas,AMER,NAC,North America & Carribbean,328
Haiti,Haiti,Haiti,FALSE,HTI,LIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,332
Honduras,Honduras,Honduras,FALSE,HND,LMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,340
Hungary,Hungary,Hungary,FALSE,HUN,HIC,Eastern Europe,Europe,EUR,EUR,Europe,348
Iceland,Iceland,Iceland,FALSE,ISL,HIC,Nordic Countries,Europe,EUR,EUR,Europe,352
India,India,India,FALSE,IND,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,356
Indonesia,Indonesia,Indonesia,FALSE,IDN,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,360
Iraq,Iraq,Iraq,FALSE,IRQ,UMIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,368
Ireland,Ireland,Ireland,FALSE,IRL,HIC,Western Europe,Europe,EUR,EUR,Europe,372
Islamic Republic of Iran,Iran (Islamic Republic of),Iran (Islamic Republic of),FALSE,IRN,UMIC,South Asia,Asia-Pacific,APAC,EMME,Middle East & North Africa,364
Israel,Israel,Israel,FALSE,ISR,HIC,Middle East,Middle East and Africa,MEA,EUR,Europe,376
Italy,Italy,Italy,FALSE,ITA,HIC,Western Europe,Europe,EUR,EUR,Europe,380
Jamaica,Jamaica,Jamaica,FALSE,JAM,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,388
Japan,Japan,Japan,FALSE,JPN,HIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,392
Jordan,Jordan,Jordan,FALSE,JOR,UMIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,400
Kazakhstan,Kazakhstan,Kazakhstan,FALSE,KAZ,UMIC,Eastern Europe,Asia-Pacific,APAC,EUR,Europe,398
Kenya,Kenya,Kenya,FALSE,KEN,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,404
Kiribati,Kiribati,Kiribati,FALSE,KIR,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,296
Kuwait,Kuwait,Kuwait,FALSE,KWT,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,414
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,FALSE,KGZ,LMIC,Eastern Europe,Asia-Pacific,APAC,EUR,Europe,417
Lao People's Democratic Republic,Lao People's Democratic Republic,Lao People's Democratic Republic,FALSE,LAO,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,418
Latvia,Latvia,Latvia,FALSE,LVA,HIC,Western Europe,Europe,EUR,EUR,Europe,428
Lebanon,Lebanon,Lebanon,FALSE,LBN,UMIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,422
Lesotho,Lesotho,Lesotho,FALSE,LSO,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,426
Liberia,Liberia,Liberia,FALSE,LBR,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,430
Libya,Libya,Libya,FALSE,LBY,UMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,434
Lithuania,Lithuania,Lithuania,FALSE,LTU,HIC,Western Europe,Europe,EUR,EUR,Europe,440
Luxembourg,Luxembourg,Luxembourg,FALSE,LUX,HIC,Western Europe,Europe,EUR,EUR,Europe,442
Macedonia,North Macedonia,North Macedonia,FALSE,MKD,UMIC,Western Europe,Europe,EUR,EUR,Europe,807
Madagascar,Madagascar,Madagascar,FALSE,MDG,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,450
Malawi,Malawi,Malawi,FALSE,MWI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,454
Malaysia,Malaysia,Malaysia,FALSE,MYS,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,458
Maldives,Maldives,Maldives,FALSE,MDV,UMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,462
Mali,Mali,Mali,FALSE,MLI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,466
Malta,Malta,Malta,FALSE,MLT,HIC,Western Europe,Europe,EUR,EUR,Europe,470
Martinique,Martinique,Martinique,TRUE,MTQ,UMIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,474
Mauritania,Mauritania,Mauritania,FALSE,MRT,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,478
Mauritius,Mauritius,Mauritius,FALSE,MUS,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,SEA,South Asia,480
Mayotte,Mayotte,Mayotte,TRUE,MYT,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,N/A,N/A,175
Mexico,Mexico,Mexico,FALSE,MEX,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,484
Moldova,Republic of Moldova,Republic of Moldova,FALSE,MDA,LMIC,Eastern Europe,Europe,EUR,EUR,Europe,498
Mongolia,Mongolia,Mongolia,FALSE,MNG,LMIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,496
Montenegro,Montenegro,Montenegro,FALSE,MNE,UMIC,Western Europe,Europe,EUR,EUR,Europe,499
Morocco,Morocco,Morocco,FALSE,MAR,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,504
Mozambique,Mozambique,Mozambique,FALSE,MOZ,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,508
Myanmar,Myanmar,Myanmar,FALSE,MMR,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,104
Namibia,Namibia,Namibia,FALSE,NAM,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,516
Nepal,Nepal,Nepal,FALSE,NPL,LIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,524
Netherlands,Netherlands,Netherlands,FALSE,NLD,HIC,Western Europe,Europe,EUR,EUR,Europe,528
New Caledonia,New Caledonia,New Caledonia,TRUE,NCL,HIC,South-East Asia,Asia-Pacific,APAC,N/A,N/A,540
New Zealand,New Zealand,New Zealand,FALSE,NZL,HIC,Australasia,Asia-Pacific,MEA,WP,Western Pacific,554
Nicaragua,Nicaragua,Nicaragua,FALSE,NIC,LMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,558
Niger,Niger,Niger,FALSE,NER,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,562
Nigeria,Nigeria,Nigeria,FALSE,NGA,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,566
Norway,Norway,Norway,FALSE,NOR,HIC,Nordic Countries,Europe,EUR,EUR,Europe,578
Oman,Oman,Oman,FALSE,OMN,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,512
Pakistan,Pakistan,Pakistan,FALSE,PAK,LMIC,South Asia,Asia-Pacific,APAC,EMME,Middle East & North Africa,586
Panama,Panama,Panama,FALSE,PAN,HIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,591
Papua New Guinea,Papua New Guinea,Papua New Guinea,FALSE,PNG,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,598
Paraguay,Paraguay,Paraguay,FALSE,PRY,UMIC,South America,Americas,AMER,SACA,South America & Central America,600
Peru,Peru,Peru,FALSE,PER,UMIC,South America,Americas,AMER,SACA,South America & Central America,604
Philippines,Philippines,Philippines,FALSE,PHL,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,608
Poland,Poland,Poland,FALSE,POL,HIC,Eastern Europe,Europe,EUR,EUR,Europe,616
Portugal,Portugal,Portugal,FALSE,PRT,HIC,Western Europe,Europe,EUR,EUR,Europe,620
Puerto Rico,Puerto Rico,Puerto Rico,TRUE,PRI,HIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,630
Qatar,Qatar,Qatar,FALSE,QAT,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,634
Republic of Congo,Congo,"Congo, Republic of the",FALSE,COG,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,178
Republic of Korea,Republic of Korea,South Korea,FALSE,KOR,HIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,410
Réunion,Réunion,Réunion,TRUE,REU,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,N/A,N/A,638
Romania,Romania,Romania,FALSE,ROU,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,642
Russian Federation,Russian Federation,Russia,FALSE,RUS,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,643
Rwanda,Rwanda,Rwanda,FALSE,RWA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,646
Samoa,Samoa,Samoa,FALSE,WSM,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,882
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,FALSE,STP,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,678
Saudi Arabia,Saudi Arabia,Saudi Arabia,FALSE,SAU,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,682
Senegal,Senegal,Senegal,FALSE,SEN,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,686
Serbia,Serbia,Serbia,FALSE,SRB,UMIC,Western Europe,Europe,EUR,EUR,Europe,688
Seychelles,Seychelles,Seychelles,FALSE,SYC,HIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,690
Sierra Leone,Sierra Leone,Sierra Leone,FALSE,SLE,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,694
Singapore,Singapore,Singapore,FALSE,SGP,HIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,702
Slovakia,Slovakia,Slovakia,FALSE,SVK,HIC,Eastern Europe,Europe,EUR,EUR,Europe,703
Slovenia,Slovenia,Slovenia,FALSE,SVN,HIC,Western Europe,Europe,EUR,EUR,Europe,705
Solomon Islands,Solomon Islands,Solomon Islands,FALSE,SLB,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,90
Somalia,Somalia,Somalia,FALSE,SOM,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,706
South Africa,South Africa,South Africa,FALSE,ZAF,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,710
South Sudan,South Sudan,South Sudan,FALSE,SSD,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,728
Spain,Spain,Spain,FALSE,ESP,HIC,Western Europe,Europe,EUR,EUR,Europe,724
Sri Lanka,Sri Lanka,Sri Lanka,FALSE,LKA,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,144
St Lucia,Saint Lucia,Saint Lucia,FALSE,LCA,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,662
St Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,FALSE,VCT,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,670
State of Palestine,State of Palestine,State of Palestine,TRUE,PSE,LMIC,Middle East,Middle East and Africa,MEA,N/A,N/A,275
Sudan,Sudan,Sudan,FALSE,SDN,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,729
Suriname,Suriname,Suriname,FALSE,SUR,UMIC,South America,Americas,AMER,NAC,North America & Carribbean,740
Swaziland,Eswatini,Eswatini,FALSE,SWZ,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,748
Sweden,Sweden,Sweden,FALSE,SWE,HIC,Nordic Countries,Europe,EUR,EUR,Europe,752
Switzerland,Switzerland,Switzerland,FALSE,CHE,HIC,Western Europe,Europe,EUR,EUR,Europe,756
Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,FALSE,SYR,LIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,760
Tajikistan,Tajikistan,Tajikistan,FALSE,TJK,LIC,Eastern Europe,Asia-Pacific,APAC,EUR,Europe,762
Thailand,Thailand,Thailand,FALSE,THA,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,764
Timor L'Este,Timor-Leste,Timor-Leste,FALSE,TLS,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,626
Togo,Togo,Togo,FALSE,TGO,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,768
Tonga,Tonga,Tonga,FALSE,TON,UMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,776
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,FALSE,TTO,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,780
Tunisia,Tunisia,Tunisia,FALSE,TUN,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,788
Turkey,Turkey,Turkey,FALSE,TUR,UMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,792
Turkmenistan,Turkmenistan,Turkmenistan,FALSE,TKM,UMIC,Eastern Europe,Asia-Pacific,APAC,EUR,Europe,795
Uganda,Uganda,Uganda,FALSE,UGA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,800
Ukraine,Ukraine,Ukraine,FALSE,UKR,LMIC,Eastern Europe,Europe,EUR,EUR,Europe,804
United Arab Emirates,United Arab Emirates,United Arab Emirates (UAE),FALSE,ARE,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,784
United Kingdom,United Kingdom,United Kingdom (UK),FALSE,GBR,HIC,Western Europe,Europe,EUR,EUR,Europe,826
United Republic of Tanzania,United Republic of Tanzania,Tanzania,FALSE,TZA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,834
United States,United States of America,United States of America (USA),FALSE,USA,HIC,North America,Americas,AMER,NAC,North America & Carribbean,840
United States Virgin Islands,United States Virgin Islands,United States Virgin Islands,TRUE,VIR,HIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,850
Uruguay,Uruguay,Uruguay,FALSE,URY,HIC,South America,Americas,AMER,SACA,South America & Central America,858
Uzbekistan,Uzbekistan,Uzbekistan,FALSE,UZB,LMIC,Eastern Europe,Asia-Pacific,APAC,EUR,Europe,860
Vanuatu,Vanuatu,Vanuatu,FALSE,VUT,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,548
Venezuela,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),FALSE,VEN,UMIC,South America,Americas,AMER,SACA,South America & Central America,862
Viet Nam,Viet Nam,Vietnam,FALSE,VNM,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,704
Western Sahara,Western Sahara,Western Sahara,TRUE,ESH,UMIC,North Africa,Middle East and Africa,MEA,N/A,N/A,732
Yemen,Yemen,Yemen,FALSE,YEM,LIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,887
Zambia,Zambia,Zambia,FALSE,ZMB,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,894
Zimbabwe,Zimbabwe,Zimbabwe,FALSE,ZWE,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,716
