source,resp_id,elect_part,country_wk,region_wk,inst_name,inst_role,inst_role_other,med_age_diag_center,med_age_diag_center_src,med_age_diag_reg,med_age_diag_reg_src,inst_hba1c_avg,inst_hba1c_max,inst_hba1c_src,reg_hba1c_avg,reg_hba1c_max,reg_hba1c_src,inst_dka_diag_rate,inst_dka_diag_src,reg_dka_diag_rate,reg_dka_diag_src,od_2010_rate,od_2010_src,od_2000_2010_rate,od_2000_2010_src,od_pre_2000_rate,od_pre_2000_src,inst_treat_2xhi,reg_treat_2xhi,inst_treat_2_shortlong,reg_treat_2_shortlong,inst_treat_3plus_shortlong,reg_treat_3plus_shortlong,inst_treat_3_analog,reg_treat_3_analog,inst_treat_pump,reg_treat_pump,inst_treat_pump_suspend,reg_treat_pump_suspend,inst_treat_pump_cloop,reg_treat_pump_cloop,treat_other,inst_measure_clinic,reg_measure_clinic,inst_measure_fewdays,reg_measure_fewdays,inst_measure_1_2_strips_day,reg_measure_1_2_strips_day,inst_measure_3_4_strips_day,reg_measure_3_4_strips_day,inst_measure_5_more_strips_day,reg_measure_5_more_strips_day,inst_measure_flash_glucose,reg_measure_flash_glucose,inst_measure_continuous,reg_measure_continuous,inst_measure_continuous_cloop,reg_measure_continuous_cloop,measure_other,inst_educ_doctor,reg_educ_doctor,inst_educ_nurse,reg_educ_nurse,inst_educ_other_in_person,reg_educ_other_in_person,inst_educ_camp_wshops,reg_educ_camp_wshops,inst_educ_peer_mentor,reg_educ_peer_mentor,inst_educ_printed_materials_local,reg_educ_printed_materials_local,inst_educ_printed_materials_foreign,reg_educ_printed_materials_foreign,inst_educ_online_local,reg_educ_online_local,inst_educ_online_foreign,reg_educ_online_foreign,educ_other,cost_currency,cost_insulin,cost_consumables,cost_devices,cost_med_appts,cost_insurance,cost_other,cost_not_afford_pc,followup_share,followup_results,followup_review,followup_review_country,followup_ispad,followup_plan,followup_other,inst_support_nurse_educ,reg_support_nurse_educ,inst_support_psych,reg_support_psych,inst_support_social_worker,reg_support_social_worker,inst_support_dietician,reg_support_dietician,inst_support_comm_health_wkr,reg_support_comm_health_wkr,support_other,inst_prof_test_hba1c,reg_prof_test_hba1c,inst_prof_test_weight,reg_prof_test_weight,inst_prof_test_height,reg_prof_test_height,inst_prof_test_bp,reg_prof_test_bp,inst_prof_test_retina,reg_prof_test_retina,inst_prof_test_ualb,reg_prof_test_ualb,inst_prof_test_lipids,reg_prof_test_lipids,world_bank_name,united_nations_name,iso3c,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,loc_id,income_group
online,11960670155,Yes! I'd like to complete the survey now (est. 10 minutes),France,TOULOUSE,HOPITAL DES ENFANTS CHU TOULOUSE,Endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960618282,Yes! I'd like to complete the survey now (est. 10 minutes),France,Ile de France,Hôpital Robert-Debré (Paris),Paediatric endocrinologist,NA,NA,NA,7,Clinical impression,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,40-50%,Personal estimate,40-50%,Personal estimate,0%,Personal estimate,0%,Personal estimate,NA,NA,NA,NA,NA,NA,NA,NA,60%,60%,40%,40%,10%,NA,0%,0%,NA,0%,NA,NA,NA,NA,NA,NA,NA,20%,NA,70%,NA,10%,NA,0%,NA,NA,At your institution,In your region,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,euros,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,Annually,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960590828,Yes! I'd like to complete the survey now (est. 10 minutes),France,"Eure, Normandie",Centre Hospitalier Eure-Seine,Paediatrician,NA,NA,NA,7,Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),NA,NA,NA,NA,NA,10-20%,NA,NA,NA,0%,Personal estimate,0%,Personal estimate,0-10%,Personal estimate,0%,0%,0%,0%,0%,10%,30%,30%,70%,60%,10%,10%,0%,NA,NA,0%,NA,0%,NA,0%,NA,NA,NA,NA,NA,30%,NA,70%,NA,0%,NA,NA,At your institution,NA,At your institution,In your region,At your institution,NA,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,NA,NA,NA,NA,NA,Euro,?,?,?,?,N.o.,NA,0,Sharing the survey with others in my network,Seeing survey results,NA,NA,Becoming an ISPAD member,NA,NA,At your institution,In your region,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,Annually,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960475801,Yes! I'd like to complete the survey now (est. 10 minutes),France,savoie,Centre Hospitalier Métrople Savoie,Paediatrician,NA,NA,NA,10,Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,Unknown,Unknown,NA,40-50%,Personal estimate,NA,NA,0%,Personal estimate,NA,NA,NA,NA,0%,NA,0%,NA,0%,NA,50%,NA,40%,NA,10%,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,10%,NA,NA,NA,80%,NA,10%,NA,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,Seeing survey results,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every two years,NA,Every two years,NA,Every two years,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960427186,Yes! I'd like to complete the survey now (est. 10 minutes),France,44,chu nantes,Paediatric endocrinologist,NA,NA,NA,5,Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),NA,Personal estimate,NA,NA,NA,40-50%,Personal estimate,NA,NA,0-10%,Personal estimate,0-10%,NA,0-10%,NA,NA,NA,NA,NA,40%,NA,NA,NA,60%,NA,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,NA,80%,NA,10%,NA,NA,NA,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,Seeing survey results,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960398635,Yes! I'd like to complete the survey now (est. 10 minutes),France,Trevenans (Territoire de Belfort 90),Hopital Nord Franche Comte,Paediatrician,NA,NA,NA,9,Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,50-60%,Personal estimate,50-60%,Personal estimate,0-10%,Personal estimate,0-10%,Personal estimate,0-10%,Personal estimate,0%,0%,0%,0%,0%,0%,70%,60%,30%,30%,0%,10%,0%,0%,NA,0%,0%,0%,0%,0%,0%,0%,0%,20%,20%,0%,0%,80%,80%,0%,0%,NA,At your institution,In your region,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Sharing the survey with others in my network,Seeing survey results,NA,NA,Becoming an ISPAD member,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,Every visit,Every visit,Annually,Every visit,Annually,Every visit,Annually,Every visit,Annually,Annually,Annually,Annually,Annually,Annually,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960159958,Yes! I'd like to complete the survey now (est. 10 minutes),France,Loir-et-cher 41000,Hospital center of BLOIS,Paediatric endocrinologist,NA,NA,NA,8,Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Clinical records,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Informed estimate,40-50%,Personal estimate,50-60%,Personal estimate,0%,Clinical records,0%,Informed estimate,0-10%,Personal estimate,0%,0%,0%,0%,0%,0%,20%,20%,80%,80%,10%,20%,0%,50%,NA,0%,0%,0%,0%,0%,0%,10%,10%,0%,0%,80%,70%,10%,10%,0%,10%,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,"dieteticienne, coach for sport",euros,0,0,0,0,0,gazoline for car to go to appointment,0,Sharing the survey with others in my network,Seeing survey results,NA,NA,Becoming an ISPAD member,Helping develop action plans for medical professionals,if you tell us we can do better analysis in our center for research need,At your institution,In your region,NA,In your region,At your institution,In your region,At your institution,In your region,NA,In your region,coach for sport once per year in my institution,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Annually,Annually,Annually,Annually,Annually,Annually,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960118421,Yes! I'd like to complete the survey now (est. 10 minutes),Oman,muscat,SQUH,Paediatrician,NA,NA,NA,5,Clinical impression,7.0-7.9% (53.0-63.8 mmol/mol),11.0-11.9% (96.7-107.6 mmol/mol),NA,7.0-7.9% (53.0-63.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),NA,80-90%,Clinical records,80-90%,Informed estimate,70-80%,NA,70-80%,NA,70-80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oman,Oman,OMN,HIC,Middle East,Middle East and Africa,512,High income
online,11960116225,Yes! I'd like to complete the survey now (est. 10 minutes),France,"Grand est, lorraine",CHR metz-thionville,Paediatrician,NA,NA,NA,10,Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),11.0-11.9% (96.7-107.6 mmol/mol),Informed estimate,NA,NA,NA,80-90%,Informed estimate,NA,NA,0%,Personal estimate,0%,Other,0%,Other,0%,NA,0%,NA,10%,NA,0%,NA,90%,NA,0%,NA,0%,NA,NA,0%,NA,0%,NA,NA,NA,10%,NA,NA,NA,NA,NA,90%,NA,0%,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,euro,480,3650,3000,240,0,200,3,Sharing the survey with others in my network,Seeing survey results,NA,NA,Becoming an ISPAD member,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,Annually,Less often,Less often,Annually,Annually,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11960046121,Yes! I'd like to complete the survey now (est. 10 minutes),France,"grand est, lorraine",chr metz-thionville,Paediatrician,NA,NA,NA,11,Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),11.0-11.9% (96.7-107.6 mmol/mol),Informed estimate,NA,NA,NA,80-90%,Personal estimate,NA,NA,0%,Personal estimate,0%,Personal estimate,NA,NA,0%,NA,0%,NA,20%,NA,0%,NA,80%,NA,0%,NA,0%,NA,NA,0%,NA,0%,NA,0%,NA,10%,NA,0%,NA,90%,NA,0%,NA,0%,NA,flash glucose monitoring = freestyle libre,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,euro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11959982995,Yes! I'd like to complete the survey now (est. 10 minutes),France,Nouvelle-Aquitaine,Centre Hospitalier Samuel Pozzi Bergerac,Paediatric endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11959974067,Yes! I'd like to complete the survey now (est. 10 minutes),France,"Loire Atlantique, Nantes",universitary hospital,Paediatric endocrinologist,NA,NA,NA,10,Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,NA,NA,NA,70-80%,Personal estimate,70-80%,Personal estimate,0%,Personal estimate,0%,Personal estimate,0%,Personal estimate,0%,0%,0%,0%,0%,0%,50%,50%,50%,50%,10%,10%,0%,10%,NA,0%,NA,10%,NA,10%,NA,10%,NA,20%,NA,80%,NA,10%,NA,0%,NA,NA,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,euros,1000,1000,1000,NA,NA,NA,0,Sharing the survey with others in my network,Seeing survey results,NA,Reviewing and providing commentary (e.g. for your country),NA,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Annually,Annually,Less often,NA,Annually,NA,Every two years,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11959973049,Yes! I'd like to complete the survey now (est. 10 minutes),France,val de marne  94,Hospital St CAmille Bry/Marne 94,Paediatrician,NA,NA,NA,8,Registry data,8.0-8.9% (63.9-74.8 mmol/mol),11.0-11.9% (96.7-107.6 mmol/mol),Clinical records,NA,NA,NA,50-60%,Clinical impression,NA,NA,0-10%,Personal estimate,NA,NA,NA,NA,0%,NA,10%,NA,0%,NA,60%,NA,30%,NA,10%,NA,0%,NA,NA,0%,NA,0%,NA,0%,NA,10%,NA,20%,NA,60%,NA,10%,NA,0%,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11959907389,Yes! I'd like to complete the survey now (est. 10 minutes),France,"Region Alsace , Department Bas-Rhin (67)",CHU of Strasbourg,Paediatric endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11959821374,Yes! I'd like to complete the survey now (est. 10 minutes),France,13 bouches du rhone,Hopital saint joseph,Paediatric endocrinologist,NA,NA,NA,8,Informed estimate,7.0-7.9% (53.0-63.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,Unknown,NA,Personal estimate,30-40%,Informed estimate,NA,NA,NA,NA,NA,NA,NA,NA,0%,100%,0%,NA,0%,NA,40%,NA,50%,NA,10%,NA,0%,NA,NA,0%,NA,0%,NA,0%,NA,10%,NA,0%,NA,80%,NA,10%,NA,0%,NA,NA,At your institution,NA,At your institution,In your region,At your institution,NA,NA,In your region,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Sharing the survey with others in my network,Seeing survey results,NA,Reviewing and providing commentary (e.g. for your country),Becoming an ISPAD member,Helping develop action plans for medical professionals,NA,At your institution,In your region,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every two years,NA,Every two years,NA,Every two years,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11959136430,Yes! I'd like to complete the survey now (est. 10 minutes),United Arab Emirates (UAE),Emirates,SKMCA,Paediatric endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,United Arab Emirates,ARE,HIC,Middle East,Middle East and Africa,784,High income
online,11958916633,Yes! I'd like to complete the survey now (est. 10 minutes),Morocco,Marrakech,Liberal,Endocrinologist,NA,NA,NA,11,NA,9.0-9.9% (74.9-85.7 mmol/mol),NA,NA,NA,NA,NA,90-100%,NA,NA,NA,20-30%,NA,10-20%,NA,0-10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morocco,Morocco,MAR,LMIC,North Africa,Middle East and Africa,504,Lower income
online,11958742871,Yes! I'd like to complete the survey now (est. 10 minutes),France,38,Chu grenoble,Paediatric endocrinologist,NA,NA,NA,7,Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),NA,NA,Unknown,NA,NA,0-10%,Personal estimate,0-10%,NA,0%,Personal estimate,0%,Personal estimate,0%,Personal estimate,0%,NA,0%,NA,0%,NA,40%,NA,60%,NA,10%,NA,0%,NA,NA,0%,NA,0%,NA,0%,NA,0%,NA,10%,NA,80%,NA,10%,NA,0%,NA,NA,At your institution,In your region,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euros,3000,500,3000,200,NA,NA,NA,Sharing the survey with others in my network,Seeing survey results,NA,Reviewing and providing commentary (e.g. for your country),Becoming an ISPAD member,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,Annually,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11958737680,Yes! I'd like to complete the survey now (est. 10 minutes),France,DIJON BOURGOGNE,"CHU de Dijon, Hôpital d'enfant",Paediatric endocrinologist,NA,NA,NA,8,Personal estimate,7.0-7.9% (53.0-63.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Informed estimate,Unknown,Unknown,NA,70-80%,Personal estimate,NA,NA,0%,Personal estimate,0%,Personal estimate,0%,Personal estimate,NA,NA,NA,NA,NA,NA,30%,NA,60%,NA,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90%,NA,10%,NA,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seeing survey results,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11958675770,Yes! I'd like to complete the survey now (est. 10 minutes),France,Puy-de-Dôme,CHU de Clermont-Ferrand / Clermont-Ferrand University Hospital,Paediatric endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11958584431,Yes! I'd like to complete the survey now (est. 10 minutes),France,Normandie,Centre hospitalier du cotentin cherbourg,Paediatrician,NA,NA,NA,10,Clinical impression,7.0-7.9% (53.0-63.8 mmol/mol),11.0-11.9% (96.7-107.6 mmol/mol),Informed estimate,7.0-7.9% (53.0-63.8 mmol/mol),11.0-11.9% (96.7-107.6 mmol/mol),Informed estimate,20-30%,Informed estimate,20-30%,Informed estimate,0%,Personal estimate,0%,Personal estimate,0%,Personal estimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11958551737,Yes! I'd like to complete the survey now (est. 10 minutes),France,13,Centre hospitalier d'aix en provence,Paediatrician,NA,NA,NA,9,Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Registry data,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,30-40%,Personal estimate,30-40%,Published study,0%,Registry data,0%,Registry data,0%,Registry data,0%,0%,0%,10%,0%,0%,50%,40%,50%,60%,10%,10%,0%,0%,NA,0%,NA,0%,NA,10%,NA,10%,NA,0%,NA,80%,NA,10%,NA,0%,NA,NA,At your institution,In your region,NA,In your region,NA,In your region,NA,In your region,At your institution,In your region,At your institution,In your region,At your institution,NA,NA,NA,NA,NA,NA,NA,0,0,0,50,0,NA,NA,NA,Seeing survey results,NA,NA,NA,NA,NA,At your institution,In your region,NA,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Less often,Less often,Annually,Annually,Annually,Annually,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11957971693,Yes! I'd like to complete the survey now (est. 10 minutes),France,bethune  - departement du pas de calais - region haut de france,Hopital de Bethune Beuvry,Paediatrician,NA,NA,NA,8,Clinical impression,10.0-10.9% (85.8-96.6 mmol/mol),Unknown,Clinical impression,NA,NA,NA,50-60%,Personal estimate,NA,NA,0%,Personal estimate,0%,Personal estimate,0%,Personal estimate,0%,NA,0%,NA,0%,NA,80%,NA,20%,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20%,NA,80%,NA,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,"no ideas, thank you french social system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
online,11957957870,Yes! I'd like to complete the survey now (est. 10 minutes),France,French Guyana,Centre hospitalier de l'ouest guyanais Franck Joly,Paediatrician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,France,FRA,HIC,Western Europe,Europe,250,High income
